"year.s","region","OE_25","PC1r","PC2r","PC3r","year","lwr","fit","upr","lwr.diff","fit.diff","upr.diff","incr","decr","fit.incr","fit.decr","lwr.i","fit.i","upr.i","species"
15.5,"atl","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2017.5,0.15573511861617,0.267758431592378,0.438927283335662,-0.0164381736745198,0.0115158186336783,0.0642551005561737,NA,NA,NA,NA,0.763215236352775,1.31221086463415,2.1510626072617,"Common Kestrel"
15.75,"atl","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2017.75,0.157025537017823,0.271015038603176,0.447926010497328,-0.015748698866988,0.0119661471671695,0.0687302363049785,NA,NA,NA,NA,0.769539224122286,1.32817060519581,2.19516290871325,"Common Kestrel"
16,"atl","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2018,0.158576132266519,0.274293398121621,0.457929000276364,-0.0158336219941782,0.012420764257115,0.072575606188327,NA,NA,NA,NA,0.777138267483455,1.34423694885004,2.2441848266742,"Common Kestrel"
16.25,"atl","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2018.25,0.159063211538117,0.278029792963644,0.468482482112631,-0.0168780093508583,0.0127226048857176,0.077404643831172,NA,NA,NA,NA,0.779525309819816,1.36254799839237,2.29590455569603,"Common Kestrel"
16.5,"atl","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2018.5,0.160322166937608,0.281830305902241,0.478471939839009,-0.0171902662429793,0.0128815700382867,0.0819862711033819,NA,NA,NA,NA,0.785695106018118,1.3811732731953,2.34486015676675,"Common Kestrel"
16.75,"atl","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2018.75,0.160921337995659,0.286249841222371,0.492791955871849,-0.0180418593137555,0.0131150944410185,0.088069689543474,NA,NA,NA,NA,0.788631479552551,1.40283220744144,2.41503864006708,"Common Kestrel"
17,"atl","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2019,0.160979112569586,0.290079354406722,0.508311784013591,-0.0190698650845283,0.0133153040475509,0.0942464291737929,NA,NA,NA,NA,0.788914616943054,1.42159960451977,2.49109707446907,"Common Kestrel"
17.25,"atl","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2019.25,0.1620660552651,0.293848314423806,0.524692036094248,-0.0207294445987299,0.0133778788391492,0.103026994369454,NA,NA,NA,NA,0.794241425909651,1.44007024708134,2.57137221134471,"Common Kestrel"
17.5,"atl","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2019.5,0.161568137136641,0.297737717030999,0.542482176521722,-0.0215270491666641,0.0133467141499866,0.111722440608794,NA,NA,NA,NA,0.791801265299296,1.45913114584648,2.65855682552648,"Common Kestrel"
17.75,"atl","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2019.75,0.16086574075739,0.302472425663023,0.569069736679109,-0.0224687862389952,0.0133663365632641,0.121509191498573,NA,NA,NA,NA,0.788359012688791,1.48233465832178,2.78885518847682,"Common Kestrel"
18,"atl","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2020,0.160732702140395,0.307088916788727,0.590716927491052,-0.0220131020402664,0.0134971194633293,0.130712217411691,NA,NA,NA,NA,0.787707026801369,1.50495881912078,2.89494215202568,"Common Kestrel"
0,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2002,0.0377803029764342,0.135665477292114,0.335955305399266,-0.032328954222817,0.00961423128373329,0.0288574905593017,NA,NA,NA,NA,0.191805430350168,0.688755070913696,1.70559913113249,"Common Kestrel"
0.25,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2002.25,0.0398971132929975,0.138451776990179,0.334671092897115,-0.0305630190646222,0.00988231402515583,0.030231274990293,NA,NA,NA,NA,0.202552186774842,0.702900733350685,1.69907935992288,"Common Kestrel"
0.5,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2002.5,0.0421755650287364,0.141223289558764,0.33365304352933,-0.0287233484749447,0.0102184887008916,0.031325246387312,NA,NA,NA,NA,0.214119574574195,0.716971323554,1.69391086253874,"Common Kestrel"
0.75,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2002.75,0.0443312600099224,0.144272871491488,0.332870620492497,-0.026257143029236,0.0105767466862527,0.0326009927586121,NA,NA,NA,NA,0.225063743122234,0.73245363388272,1.68993860780618,"Common Kestrel"
1,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2003,0.0470611212409375,0.147613982894002,0.331775292820355,-0.0229664795527579,0.0110203491850841,0.0338676719026515,NA,NA,NA,NA,0.238922875182072,0.749415999452067,1.6843777790415,"Common Kestrel"
1.25,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2003.25,0.0495893544311521,0.150292784043919,0.331296817788434,-0.0203808449121268,0.0115367811914791,0.0349383096447178,NA,NA,NA,NA,0.251758369258897,0.763015906464538,1.68194862675369,"Common Kestrel"
1.5,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2003.5,0.052487290223395,0.154060026043183,0.332133019159149,-0.0186770051085194,0.0120133956541674,0.0366644030310933,NA,NA,NA,NA,0.266470792875643,0.782141678784382,1.68619390673118,"Common Kestrel"
1.75,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2003.75,0.0554996108139272,0.157533665756161,0.333934963587113,-0.0153969682796934,0.0126627914595612,0.0385335431611067,NA,NA,NA,NA,0.28176393246693,0.799776872457781,1.69534213210905,"Common Kestrel"
2,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2004,0.0589008086200816,0.160571252681885,0.334761151097229,-0.0134176055157087,0.0132403763285216,0.0413888465136125,NA,NA,NA,NA,0.299031348488511,0.815198285776728,1.69953657308605,"Common Kestrel"
2.25,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2004.25,0.0627287044236997,0.164411595797146,0.336684658182031,-0.0116199824004848,0.013907939819327,0.0443415459721527,NA,NA,NA,NA,0.318465051876399,0.834695182463195,1.70930195544447,"Common Kestrel"
2.5,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2004.5,0.0663480904718117,0.168612169348548,0.337878094539166,-0.0102101506281593,0.0144754170097738,0.0470762021084897,NA,NA,NA,NA,0.336840179757045,0.856020919799041,1.71536086858285,"Common Kestrel"
2.75,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2004.75,0.0706626855626607,0.172786653874868,0.340251186744424,-0.00855650568128141,0.0151281989496654,0.0497371770624491,NA,NA,NA,NA,0.35874478885198,0.877214206723192,1.72740873310035,"Common Kestrel"
3,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2005,0.0751807890688782,0.177021730344243,0.343159353749506,-0.00715873408932422,0.0156743670617909,0.0533433337080377,NA,NA,NA,NA,0.381682582334399,0.898715110654034,1.74217309918518,"Common Kestrel"
3.25,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2005.25,0.0795727642341752,0.182120991944444,0.34759665754327,-0.00608257786063882,0.0161445508393976,0.0552242105399114,NA,NA,NA,NA,0.403980039482705,0.924603364284625,1.76470068357984,"Common Kestrel"
3.5,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2005.5,0.0848249561862964,0.187066659445257,0.352630909973154,-0.00525356352173295,0.0166688189386088,0.0573741925782856,NA,NA,NA,NA,0.430644699591086,0.949711841682335,1.79025889454515,"Common Kestrel"
3.75,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2005.75,0.0895680936098989,0.192056400082963,0.357438355562133,-0.00468593034511078,0.0171230867065941,0.0591879481410678,NA,NA,NA,NA,0.454724959490313,0.975044072367404,1.81466563820346,"Common Kestrel"
4,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2006,0.0944692316273431,0.196972019548461,0.363705697200781,-0.00491371892067521,0.0174268408523887,0.0599996103568812,NA,NA,NA,NA,0.479607366792018,1,1.84648407441088,"Common Kestrel"
4.25,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2006.25,0.098112365614351,0.201843973239446,0.368497483511653,-0.00515717087069129,0.0177074960789475,0.0608270545096253,NA,NA,NA,NA,0.498103059710025,1.02473424246832,1.87081131805623,"Common Kestrel"
4.5,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2006.5,0.102498203151384,0.206690571653727,0.372092455833482,-0.00560404913687446,0.0180615233996706,0.0616971747635572,NA,NA,NA,NA,0.520369356959184,1.04933975966508,1.88906250078802,"Common Kestrel"
4.75,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2006.75,0.107918988212191,0.211650204622866,0.379019336230863,-0.00599824913795344,0.0183799369209148,0.0621108318147184,NA,NA,NA,NA,0.547889941218987,1.07451913783518,1.92422932505707,"Common Kestrel"
5,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2007,0.112270016941393,0.217445304283495,0.385078480355862,-0.0062337053025191,0.0184817817359267,0.0631900030094862,NA,NA,NA,NA,0.569979518912184,1.10394006611684,1.95499077096644,"Common Kestrel"
5.25,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2007.25,0.116520541416088,0.222698072029418,0.393904195453473,-0.00653730556720439,0.0188103787325533,0.0639064938613917,NA,NA,NA,NA,0.591558850252944,1.13060764945159,1.99979771927231,"Common Kestrel"
5.5,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2007.5,0.12141918338337,0.22832782789233,0.40306718057447,-0.00638782160618245,0.0189463433644677,0.0650633186723703,NA,NA,NA,NA,0.616428585449404,1.15918914988916,2.0463169413527,"Common Kestrel"
5.75,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2007.75,0.126216671726477,0.233325565112443,0.40792907602226,-0.00618472002786308,0.0192289298343862,0.0651886876748553,NA,NA,NA,NA,0.640784777532448,1.18456197812927,2.07100011949615,"Common Kestrel"
6,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2008,0.130541298518098,0.239132734659674,0.414787699028454,-0.00565865949343769,0.0194040361251036,0.0652838527535684,NA,NA,NA,NA,0.662740316199994,1.21404418357421,2.10582041032688,"Common Kestrel"
6.25,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2008.25,0.134510081643959,0.244466867062937,0.424729334976234,-0.00692304509317121,0.0195683176222594,0.0648678055827356,NA,NA,NA,NA,0.68288928525133,1.24112484414464,2.15629273614539,"Common Kestrel"
6.5,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2008.5,0.138692662565809,0.249885454968971,0.430550589211487,-0.00799752820130478,0.0198190794790942,0.0657112746585142,NA,NA,NA,NA,0.704123676468102,1.2686342737502,2.18584644762481,"Common Kestrel"
6.75,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2008.75,0.143795232278227,0.255748656486269,0.435057848083404,-0.00931618318363719,0.020003417251363,0.0656357099283744,NA,NA,NA,NA,0.730028724931916,1.29840094584271,2.20872918438229,"Common Kestrel"
7,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2009,0.14845605566001,0.261262187142494,0.443121112814629,-0.00870610134261901,0.0203188215527894,0.0659482418275958,NA,NA,NA,NA,0.753691087700329,1.32639238680404,2.24966527647146,"Common Kestrel"
7.25,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2009.25,0.152185291245362,0.26710983530033,0.448763130707552,-0.00871465369912949,0.0205720449940328,0.066945320139275,NA,NA,NA,NA,0.772623906655533,1.35608009661806,2.2783090295581,"Common Kestrel"
7.5,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2009.5,0.156441874192017,0.273177785295644,0.457059309136082,-0.00918587689358041,0.020867061752694,0.0679424051309163,NA,NA,NA,NA,0.794233996029713,1.38688624872648,2.32042759262888,"Common Kestrel"
7.75,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2009.75,0.161094070207768,0.279152221464258,0.46465793315027,-0.0089687442922301,0.0209401841136381,0.0685773396434317,NA,NA,NA,NA,0.817852558840896,1.41721764392825,2.35900476735454,"Common Kestrel"
8,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2010,0.16559983167763,0.284701618489472,0.471536528769118,-0.00970723430830656,0.0209606177196953,0.0684319848914677,NA,NA,NA,NA,0.840727693492972,1.44539117353888,2.39392645640772,"Common Kestrel"
8.25,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2010.25,0.16984471787752,0.290313584706894,0.475749360756357,-0.00992313152603508,0.0209427733728618,0.0697334082589706,NA,NA,NA,NA,0.862278400083792,1.47388235837968,2.41531442814552,"Common Kestrel"
8.5,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2010.5,0.173955252509934,0.295889296408796,0.483065683863079,-0.0108018236090052,0.0209354256222594,0.0693685680395184,NA,NA,NA,NA,0.883147022144106,1.50218948400435,2.45245839977912,"Common Kestrel"
8.75,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2010.75,0.177835218599653,0.301534149773996,0.491045317796904,-0.0112843122327122,0.0208029396087106,0.0687572341898784,NA,NA,NA,NA,0.90284507925198,1.53084763239588,2.49296990974951,"Common Kestrel"
9,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2011,0.181189916943209,0.307213441779691,0.499860334425403,-0.0128315076912966,0.0208825472595986,0.0695153958547856,NA,NA,NA,NA,0.919876423862484,1.55968062105444,2.53772254339111,"Common Kestrel"
9.25,"kon","none",0.00128098187283519,0.00360853318022807,-0.00151507504797013,2011.25,0.185545781129255,0.313162238232385,0.506553775420511,-0.0138845551544142,0.0208573512644472,0.0704517424784806,NA,NA,NA,NA,0.941990550508649,1.58988184692567,2.57170422774634,"Common Kestrel"
